title,link,view,upload_date
※충격※ 온라인 동영상 시청이 환경 오염의 주범이라고?! 타 프로가 알려주는 충격 진실! | 지구인 더 하우스 6 회,https://youtube.com/watch?v=dbJS1r2ajcE&pp=ygUG7ZmY6rK9,9만회,2년 전
밤새 3만 걸음' 걷지만 앉아서 쉴 곳 없는 환경미화원 [MBN 종합뉴스],https://youtube.com/watch?v=qJ8gTCKSEn0&pp=ygUG7ZmY6rK9,10만회,10개월 전
제 멋대로 등급 조정'.. 환경영향평가 왜 하나? | 전주MBC 230529 방송,https://youtube.com/watch?v=8LHscy8kzEY&pp=ygUG7ZmY6rK9,910회,2년 전
황창연 신부의 행복특강│21세기는 환경의 시대 4부 - 교회와 환경운동,https://youtube.com/watch?v=tMzUEyJYVhY&pp=ygUG7ZmY6rK9,2.2천회,1년 전
[단독] 정년 2년 앞두고…'만취' 차량에 환경미화원 참변 / SBS,https://youtube.com/watch?v=kJ7KEs9VVZs&pp=ygUG7ZmY6rK9,7.1천회,4년 전
[다큐3일] 환경미화원 3일  -그들만의 여행 [풀영상 다시보기],https://youtube.com/watch?v=1B8Med4PG4s&pp=ygUG7ZmY6rK9,1.6천회,3년 전
[궁금한S] 극한 환경에서도 살아남는 생물들의 이색 생존방식은?   / YTN 사이언스,https://youtube.com/watch?v=Ca5r7Run99M&pp=ygUG7ZmY6rK9,14만회,10개월 전
전국 첫 환경미화원 근력 보조장치 도입…드는 힘 30% 완화 [전국네트워크],https://youtube.com/watch?v=L1-ByxL1alo&pp=ygUG7ZmY6rK9,35만회,3년 전
"어머니, 저는 술을 마시는 게 아니라 환경을 지키는 겁니다?? / 스브스뉴스",https://youtube.com/watch?v=PyJARTV5Z74&pp=ygUG7ZmY6rK9,20만회,3년 전
땅속탐험｜11월동화｜땅속동물 알아보기｜환경과생활,https://youtube.com/watch?v=iuEQeYD_cEQ&pp=ygUG7ZmY6rK9,3.1만회,4년 전
탄소배출 줄이려…요트로 대서양 건넌 10대 환경운동가,https://youtube.com/watch?v=FzKycnaA3u4&pp=ygUG7ZmY6rK9,4.2천회,5년 전
미세먼지 속에서 일하는 환경미화원,https://youtube.com/watch?v=KPI03UoR6O8&pp=ygUG7ZmY6rK9,8만회,3년 전
올바른 환경오염 신고 방법과 대처 방법 함께 알아보아요~!,https://youtube.com/watch?v=ooVjW2UsJsk&pp=ygUG7ZmY6rK9,36만회,6일 전
닭장에 들어온 황구렁이가 맞이한 뜻밖의 최후??! | KBS 환경스페셜 060524 방송,https://youtube.com/watch?v=pE31T1n6u4Q&pp=ygUG7ZmY6rK9,1.6만회,6개월 전
"환경운동, ‘과격의 일상화’ 우려 [뉴스in뉴스] / KBS  2023.09.20.",https://youtube.com/watch?v=WQgxcSikLrY&pp=ygUG7ZmY6rK9,7.2천회,2년 전
골프장 지으려 벌목하는데‥'오락가락' 환경영향평가 (2022.02.28/뉴스투데이/MBC),https://youtube.com/watch?v=ZOrPQVdpmmY&pp=ygUG7ZmY6rK9,2.6천회,3년 전
[SK그룹] 지구 환경을 지키는 기업들의 공통점은? (feat. SK그룹 ESG경영),https://youtube.com/watch?v=xwv49vfdS5M&pp=ygUG7ZmY6rK9,20만회,1년 전
폐암' 위험에도 개선되지 않는 환경미화원 근무 환경 / KBS  2022.11.04.,https://youtube.com/watch?v=Qt11u9rJ_44&pp=ygUG7ZmY6rK9,695회,9개월 전
"""옷도 없이 몸 그대로…"" 새벽 환경미화원 '경악' (자막뉴스) / SBS",https://youtube.com/watch?v=ReIX6oh5umg&pp=ygUG7ZmY6rK9,4.5천회,8개월 전
"독일, ‘진정한 가격’ 환경 캠페인  / KBS  2023.08.08.",https://youtube.com/watch?v=CxsmQ9MdED4&pp=ygUG7ZmY6rK9,5.4만회,4년 전
[비정상회담][63-4] 세계 환경오염 실태! 대기 오염으로 고통 받는 중국 (Abnormal Summit),https://youtube.com/watch?v=v5jy1be2LXw&pp=ygUG7ZmY6rK9,1.2만회,2년 전
"(Ko, En, Ger) 기후난민 대신 기후시민이 되어주세요 | 윤순진 서울대학교 환경대학원 교수 | 기후위기 환경 에너지  | 세바시 1355회",https://youtube.com/watch?v=F0Lnd7FDq8c&pp=ygUG7ZmY6rK9,37만회,1년 전
"제주 환경자원, 벌써 '절반' 훼손…수도권 수준 '난개발' 우려 / JTBC 뉴스룸",https://youtube.com/watch?v=4BV9Yj4RarI&pp=ygUG7ZmY6rK9,947회,7개월 전
[자막뉴스] 혈세 300억 투입 사업..환경부 6일 환경단체 1년 / KBS 2023.08.23.,https://youtube.com/watch?v=yQpe0eQXb_Q&pp=ygUG7ZmY6rK9,39만회,1년 전
예술이 된 비닐쓰레기...환경 주제 교육전시 시작 / YTN,https://youtube.com/watch?v=qDp2XM61R5o&pp=ygUG7ZmY6rK9,3.2만회,1년 전
"해발 1,000m 초토화...허술한 '환경영향평가' / YTN",https://youtube.com/watch?v=hvYz8VoTxUQ&pp=ygUG7ZmY6rK9,5.9천회,6년 전
하루 12km 뜀박질'…골병드는 환경미화원 / SBS,https://youtube.com/watch?v=pP2e2KXqRQY&pp=ygUG7ZmY6rK9,1.3천회,1년 전
독일 프라이부르크 환경정책...순천시 모델로 (뉴스데스크 2023.2.28 광주MBC),https://youtube.com/watch?v=s8EtjkW0-ho&pp=ygUG7ZmY6rK9,1.8천회,1년 전
환경영향평가 ‘의무’→‘선별’ 평가 추진…환경단체 반발 / KBS  2022.08.26.,https://youtube.com/watch?v=DD7Cfo0s7ro&pp=ygUG7ZmY6rK9,5천회,1년 전
"우리 모두 공동의 집, 지구를 돌보는 방법 [UHD환경스페셜 기후변화 특집 지구의 경고 2편 100인 리딩쇼, 지구, 우리 모두의 집] / KBS 20210715 방송",https://youtube.com/watch?v=ZhVl4PObVhM&pp=ygUG7ZmY6rK9,6.2천회,11개월 전
[글로벌K] 담배꽁초로 인한 환경오염…‘결자해지 합시다’ / KBS  2023.04.26.,https://youtube.com/watch?v=z59BoOqNA1w&pp=ygUG7ZmY6rK9,620회,1년 전
"꼭 알고 있어야할 생활속 환경호르몬과 문제점, 제거방법을 알려드립니다",https://youtube.com/watch?v=_wY2ggfzRfU&pp=ygUG7ZmY6rK9,732회,4개월 전
우리가 종이빨대 쓸 때 기업은 어떤 노력을 했을까 (ft. 통합환경관리제도) / 비디오머그,https://youtube.com/watch?v=CueBuSTHu_E&pp=ygUG7ZmY6rK9,4천회,2일 전
